TTR part num,Part Level,Customer,Segment,End Customer,Category,Description,Core Thickness,Core Width,Core Height,Tube per core,Tank,Price
B1DQA5001M00 ,ECS,Cummins,Gen Set,OEM,Domestic,QSL-9,102,561.4,1100,252,Plastic,50867
A5SMA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,Chassis Mounted Radiator,,,,,Plastic,50000
B1DQA5050M00,ECS,Cummins,Gen Set,OEM,Domestic,QSL-9,102,561.4,1100,252,Plastic,49170
A5RZA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,Roof Mounted radiator,48,552.6,740,124,Plastic,46000
A0VDA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1515-62-WB,36,537.2,650,108,Plastic,44066
A0VTA5001M01,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,9M 12M EV,48,552.6,650,124,Plastic,41342.77
C2BXA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,KOEL EPA 125 KVA,48,468.6,800,94,Plastic,41319.99
A0DNA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1012 CNG BSVI (0203),48,552.6,785,124,Plastic,40000
A7HBA5010M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,300 KVA-9.3L SOR,,,,,Plastic,39995
J2AAA5001M00,ECS,MWM,Commercial Vehicle,OEM,Export,ECS_MWM_6.12 TCA,48,733.2,1000,148,Plastic,37309.22
J2ABA5001M00,ECS,MWM,Commercial Vehicle,OEM,Export,ECS_MWM_6.12 TCA WO FANGUARD,48,733.2,1000,148,Plastic,36000
C2AQA5040M00,ECS,Kirloskar,Gen Set,OEM,Domestic,KOEL 4RTA Export,,,,,Plastic,32809.99
A7JTA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,M 250 KVA,102,561.4,1100,252,Plastic,31989.672
L5AAA5001M00,ECS,Shandong,Commercial Vehicle,OEM,Domestic,240 HP CNG bus,,,,,Plastic,31000
C2BWA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,EPA 75 KVA,,,,,Plastic,28850.99
B1BEA5001M00,ECS,Cummins,Gen Set,OEM,Domestic,ECS-160 KVA DG-0130-8377,,,,,Plastic,28637
C2BLA5040M00,ECS,Kirloskar,Gen Set,OEM,Domestic,KOEL 4K Export,,,,,Plastic,27049.99
C8AGA5001M02,ECS,Greaves,Gen Set,OEM,Domestic,Greaves 160kVa - 6G11,48,733.2,1000,148,Plastic,26664.9
K5AAA5001M00,ECS,JBM,Commercial Vehicle,OEM,Domestic,ECS - JBM 230 HP,48,702.2,1000,158,Plastic,25800
B1BEA5001M02,ECS,Cummins,Gen Set,OEM,Domestic,ECS-160 KVA DG-0130-8377,,,,,Plastic,25047
C2APA5040M00,ECS,Kirloskar,Gen Set,OEM,Domestic,KOEL 6K Export,,,,,Plastic,24500
C8AFA5001M00,ECS,Greaves,Gen Set,OEM,Domestic,ECS-GREAVES 125kVA-P21100520184,48,733.2,740,148,Plastic,23781
A5RQA5002M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,MBP 200HP/250 HP ECS,52,834.9,620,224,Plastic,23400
A7GCA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS_MHEPL_200kVA_0304AAV00520N,48,733.2,1000,148,Plastic,23200
B1AXA5006M00,ECS,Cummins,Gen Set,OEM,Domestic,A,,,,,Plastic,22705
A7GCA5010M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS_MHEPL_200kVA_W/O SG_0304AAV00630N,48,733.2,1000,148,Plastic,22668.82
A0TTA5001M01,ECS,Tata Motors,Gen Set,OEM,Domestic,125kVA,48,733.2,1000,148,Plastic,22400
A0PWA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 2138 Multiaxle,48,702.2,900,158,Plastic,22260.39
C2APA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS - 6K 1040 KOEL,48,733.2,1000,148,Plastic,21963
A5PAA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL_160kVA CPCB2_ECS,48,733.2,1000,148,Plastic,21890
A5RTA5070M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL DOST BS6 80 HP Non AC (RFMSI),24,421.1,455,63,Plastic,21800
A5RTA5050M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL DOST BS6 80 HP AC (RFMSI),24,421.1,455,63,Plastic,21800
A5SAA5020M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL Phoenix BS6 80 HP Non AC (RFMSI),24,421.1,455,63,Plastic,21800
A5SAA5010M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL Phoenix BS6 80 HP AC (RFMSI),24,421.1,455,63,Plastic,21800
C2APA5010M00,ECS,Kirloskar,Gen Set,OEM,Domestic,KOEL_6K CPCB2_ECS,48,733.2,1000,148,Plastic,21331
B1AVA5001M00,ECS,Cummins,Gen Set,OEM,Domestic,ECS-125/140 Kva NEW-0130-8483,,,,,Plastic,21005
C2APA5020M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS_6K WO DAT,48,733.2,1000,148,Plastic,20629.75
A5RQA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,MBP 200HP/250 HP ECS,,,,,Plastic,20500
A5QWA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,VRDE,,,,,Plastic,20350
C2APA5030M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS 6K CPCB-1 VAVE,48,733.2,1000,148,Plastic,20261.75
A8BXA5001M00,ECS,TMTL,Tractor,OEM,Domestic,ECS_TMTL_125kVA_93270440,48,733.2,740,148,Plastic,20200
C2BMA5040M01,ECS,Kirloskar,Gen Set,OEM,Domestic,KOEL 3RTA Export,,,,,Plastic,20140
C2BLA5030M00,ECS,Kirloskar,Gen Set,OEM,Domestic,RADIATOR ASSEMBLY-4K125KVA,48,733.2,740,148,Plastic,20076
C2BAA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS_KOEL 4K-125kVA_4H.1005.20.0.00,48,733.2,740,148,Plastic,19800
A5NXA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,SMERCH 10X10,48,674.4,1000,136,Plastic,19713.49
A0TUA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Articulated Bus,,,,,Plastic,19460.07
C2CFA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,Koel 4RT Export,,,,,Plastic,19404.99
C2BLA5001M01,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS-KOEL 4K 125KVA W/O DAT,48,733.2,740,148,Plastic,19003
A5SHA5011M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,Prime Mover 1,48,674.4,875,136,Plastic,19000
A5SJA5011M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,Prime Mover 2,48,674.4,875,136,Plastic,19000
A7DQA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS - 125-180kVA M&M NAVISTAR,48,733.2,740,148,Plastic,18702.43
A0MUA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,DIMITS,,,,,Plastic,18414.58
A7EDA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS -NAVISTAR-6CYL.-0304AAV00100N,48,733.2,740,148,Plastic,17944.25
A0MMA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,TML 100 kVA,48,733.2,692,148,Plastic,17868.07
F8AAA5001M00,ECS,Volvo,Commercial Vehicle,OEM,Export,ECS- P9103,,,,,Plastic,17780
B1AVA5001M02,ECS,Cummins,Gen Set,OEM,Domestic,ECS-CUMMINS 125/140 kVA,48,733.2,692,148,Plastic,17606
A7DQA5010M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,RADIATOR_10N W/O STONE GUARD,48,733.2,740,148,Plastic,17554.75029
A7ECA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS- Cooper 4 cyl. - ID 730mm,48,733.2,740,148,Plastic,17480.51
C2AQA5015M00,ECS,Kirloskar,Gen Set,OEM,Domestic,4RTA,48,625.4,800,126,Plastic,17409
A8DKA5001M01,ECS,Volvo Eicher,Commercial Vehicle,OEM,Domestic,ECS_VECV_160KVA,48,733.2,1000,148,Plastic,17368.2558
A8ELA5001M00,ECS,Volvo Eicher,Commercial Vehicle,OEM,Domestic,Pro 8000-BS6,48,702.2,820,158,Plastic,17362.73
C2AQA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS-KOEL 4RTA CPCB-1-4H.1410.20.0,48,625.4,800,126,Plastic,17318
A0WMA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Intercooler SA/SAK 1212,48,552.6,785,124,Plastic,17172.08
A0TRA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,PRIMA RUSSIA 4040.S/4940.S(286350100132),,,,,Plastic,17128.74
C2AQA5030M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS_4RTAkVA_W/O_RAD_GUARD,48,625.4,800,126,Plastic,17052
A7EDA5010M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS_125kVA_6CYL_W/O SG,48,733.2,740,148,Plastic,17021.58
A7EDA5020M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,125 KVA New 6 Cyllender,48,733.2,740,148,Plastic,17000.65
A0WGA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Prima 6038.S Senegal,48,702.2,820,158,Plastic,16986.58
A7CRA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS - M & M 100/125 KVA,48,733.2,740,148,Plastic,16816.14
A5HPA5003M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS-12M BNGLDESH -VA/VE PHASE 1-B1143503,48,625.4,800,126,Plastic,16780.76
A0GXA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1630,48,674.4,1000,136,Plastic,16757.98
A7ECA5010M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,RADIATOR_70N W/O STONE GUARD,48,733.2,740,148,Plastic,16745.92366
B1BAA5005M00,ECS,Cummins,Gen Set,OEM,Domestic,ECS FOR 62.5 KVA EXPORT --0130-8389,48,537.2,598,108,Plastic,16462.04
A7CUA5001M00,ECS,Mahindra Powerol,Gen Set,OEM,Domestic,ECS - 75 KVA M & M 006010824H91-OBSOLETE,48,625.4,692,126,Plastic,15920.97
A7GUA5001M01,ECS,Mahindra Tractors,Tractor,OEM,Export,M power,,,,,Plastic,15713.80549
A7FAA5001M00,ECS,Mahindra Tractors,Tractor,OEM,Domestic,ECS - 62.5kVA CPCB-1 - 006017415H91,48,625.4,692,126,Plastic,15616.51
A0GXA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS - LPO 1624 LE RE BUS -4103 5000 0104,48,674.4,1000,136,Plastic,15564.75
C2CGA5001M01,ECS,Kirloskar,Gen Set,OEM,Export,KOEL 3RNA Export,,,,,Plastic,15521
B1BAA5010M01,ECS,Cummins,Gen Set,OEM,Domestic,ECS-CUMMINS 62.5 kVA W/O FAN GUARD,48,733.2,692,148,Plastic,15374.24
F8AAA5001M01,ECS,Volvo,Commercial Vehicle,OEM,Export,ECS-P9103 (Engine Cooling System),48,702.2,820,158,Plastic,15366.25
B1AEA5001M05,ECS,Cummins,Gen Set,OEM,Domestic,ECS - 180 KVA - 3814840,48,733.2,740,148,Plastic,15267.42
A0EXA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HE ASSY LPS 3128- 5701 5010 01 32,36,703.8,826,142,Plastic,15224.46
A0EXA5003M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HE ASSY LPS 4028- 5701 5010 01 29,36,703.8,826,142,Plastic,15209.89
B1DTA5001M00,ECS,Cummins,Gen Set,OEM,Domestic,ENGINE COOLING SYSTEM,48,537.2,635,108,Plastic,15184
A0TBA5007M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,KIT-2786 5013 01 58,28,586,750,88,Plastic,15165.83
A0VRA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HE ASSY LPS 4028- 5701 5010 01 29,36,703.8,826,142,Plastic,15123.1
A0ECA5021M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Prima Tractor 300 HP,36,703.8,826,142,Plastic,15075.09
A0HVA5009M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LP0 1618 VOITH TMML,,,,,Plastic,15065.08
A0NPA5009M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HE ASSY- LPO1618VOITH RETARDER,,,,,Plastic,15063.17
A0WEA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,4028.S PRIMA,36,703.8,826,142,Plastic,14967.35
A5GPA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS -635LFB-165kW BS-3/BS-4 MT-B1V01601,48,674.4,1000,136,Plastic,14946.8
A5PRA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,DTC Reduced ht.,,,,,Plastic,14900
A5CGA5006S00,ECS,Ashok Leyland,Commercial Vehicle,SPD,Domestic,ECS-222 VIKING VAVE PHASE-1-B1138403   ,48,625.4,800,126,Plastic,14840.21
A5NMA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL_125kVA CPCB2_ECS  ,,,,,Plastic,14840
A5PBA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL_100kVA CPCB2_ECS,,,,,Plastic,14840
A5DMA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS- 12 M FE Bus Bangladesh,48,625.4,800,126,Plastic,14834.18
A0ECA5002S00,ECS,Tata Motors,Commercial Vehicle,SPD,Domestic,ECS-LPT 2518 BS3 COWL-287650110162,48,537.2,785,108,Plastic,14765.4
B1DAA5001M01,ECS,Cummins,Gen Set,OEM,Domestic,ECS - CUMMINS 125 KVA - 0130-8374,48,625.4,692,126,Plastic,14712
